BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3005,300502,3005.dat,Brick 1 x 1,9,7,Light Gray,Solid Colors,4,0.44
3008,4211099,3008.dat,Brick 1 x 8,85,72,Dark Bluish Gray,Solid Colors,24,3.21
3010,4211103,3010.dat,Brick 1 x 4,85,72,Dark Bluish Gray,Solid Colors,20,1.64
3023,4211063,3023b.dat,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,4,0.36
30414,4141467,30414.dat,"Brick, Modified 1 x 4 with Studs on Side ",9,7,Light Gray,Solid Colors,4,1.7
3460,4210998,3460.dat,Plate 1 x 8,85,72,Dark Bluish Gray,Solid Colors,16,1.36
3460,346001,3460.dat,Plate 1 x 8,1,15,White,Solid Colors,12,1.36
3659,365902,3659.dat,Arch 1 x 4,9,7,Light Gray,Solid Colors,2,1.25
3701,370102,3701.dat,"Technic, Brick 1 x 4 with Holes ",9,7,Light Gray,Solid Colors,4,1.46
3710,371001,3710.dat,Plate 1 x 4,1,15,White,Solid Colors,4,0.71
3710,4211001,3710.dat,Plate 1 x 4,85,72,Dark Bluish Gray,Solid Colors,14,0.71
3857,4219612,3857.dat,Baseplate 16 x 32,9,7,Light Gray,Solid Colors,1,52.1
4070,407002,4070.dat,"Brick, Modified 1 x 1 with Headlight ",9,7,Light Gray,Solid Colors,16,0.36
4162,416201,4162.dat,Tile 1 x 8,1,15,White,Solid Colors,4,1.06
6541,654102,6541.dat,"Technic, Brick 1 x 1 with Hole ",9,7,Light Gray,Solid Colors,4,0.38
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
133,242.66
,,,,,,,,
